title,author(s),year,edition,publisher,language,pages,category(s),ISBN_13,rating(5)
Practical Data Science Cookbook: 89 hands-on recipes to help you complete real-world data science projects in R and Python,"Tony Ojeda, Sean Patrick Murphy, Benjamin Bengfort, Abhijit Dasgupta",2014,,Packt Publishing,english,396,Computers - Programming,9781783980246,0.0
"Advanced Object-Oriented Programming in R: Statistical Programming for Data Science, Analysis and Finance",Thomas Mailund (auth.),2017,1,Apress,english,119,Computers,9781484229194,0.0
Business Analytics: The Science of Data-driven Decision Making,U. Dinesh Kumar,2017,,Wiley,english,714,Education Studies & Teaching,9788126568772,0.0
Introduction to Quantitative Data Analysis in the Behavioral and Social Sciences,Michael J. Albers,2017,1st,John Wiley & Sons,english,227,Mathematics,9781119290186,0.0
Introduction to Data Science Data Analysis and Prediction Algorithms with R,Rafael A. Irizarry,2019,,CRC Press,english,708,Computers - Computer Science,9780367357986,0.0
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman, Jordan Goldmeier",2021,1,Wiley,english,272,Mathematics,9781119741749,5.0
"Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence (Springer Series in the Data Sciences)","Yoni Nazarathy, Hayden Klok",2021,1st ed. 2021,Springer,english,539,Computers - Programming,9783030709006,0.0
Introduction to Probability for Data Science,"Chan, Stanley",2021,,Michigan Publishing Services,english,709,Computers - Databases,9781607857464,0.0
"Data Science mit Python: Das Handbuch für den Einsatz von IPython, Jupyter, NumPy, Pandas, Matplotlib und Scikit-Learn",Jake VanderPlas,2017,,MITP-Verlags,german,,Computers,9783958456976,0.0
Data Science from Scratch with Python: Step-by-Step Guide,"Peter Morgan [Morgan, Peter]",2018,,,english,,,,0.0
"Data, models, and decisions: the fundamentals of management science","Dimitris Bertsimas, Robert Michael Freund",2000,1st,South-Western College Pub.,english,,Business & Economics - Management & Leadership,9780538859066,0.0
Data Reduction and Error Analysis for the Physical Sciences,"Philip Bevington, D. Keith Robinson",2002,3rd,McGraw-Hill Science/Engineering/Math,english,338,Mathematics,9780072472271,0.0
Agile Data Science 2.0: Building Full-Stack Data Analytics Applications with Spark,Russell Jurney,2017,,O’Reilly Media,english,352,Computers - Web Development,9781491960110,0.0
Data Science and Predictive Analytics: Biomedical and Health Applications using R,Ivo D. Dinov,2018,1st ed.,Springer International Publishing,english,851,Computers,,0.0
Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,Daniel Vaughan,2020,1,"O'Reilly Media, Inc, USA",english,232,Computers - Computer Science,9781492060949,0.0
Unsupervised Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python and Theano,LazyProgrammer,2016,,LazyProgrammer,english,,Computers - Programming,,0.0
Data Science for Business and Decision Making,"Luiz Paulo Fávero, Patrícia Belfiore",2019,1,Academic Press,english,1000,Business & Economics - Mathematical Economics,9780128112168,0.0
"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools",Jeroen Janssens,2021,2,O'Reilly Media,english,282,Computers - Operating Systems,9781492087915,0.0
"Big Data, Cloud Computing, and Data Science Engineering",Roger Lee,2020,1st ed. 2020,Springer International Publishing,english,222,Computers - Computer Science,9783030244057,0.0
Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps,"Julian Soh, Priyanshi Singh",2020,1st ed.,Apress,english,290,Computers - Programming,9781484264058,0.0
"Data Science Projects with Python, Second Edition",Stephen Klosterman,2021,2,Packt Publishing,english,432,Computers - Databases,9781800564480,4.0
"Python for Beginners: Start Right Now to Learn Computer Programming with the Best Crash Course. Improve your Skills with Machine Learning, Data Analysis and Data Science","Chan, Ben",2020,,,english,,,,0.0
Data Science in the Cloud: with Microsoft Azure Machine Learning and R,Stephen F. Elston,2015,,O'Reilly Media,english,65,Computers - Programming,9781491919590,0.0
Data Science with Microsoft SQL Server 2016,"Buck Woody, Danielle Dean, Debraj GuhaThakurta, Gagan Bansal, Matt Conners and Wee-Hyong Tok",2016,,Microsoft Press,english,90,,9781509304318,0.0
"Data Science Algorithms in a Week: Top 7 algorithms for computing, data analysis, and machine learning",David Natingga,2017,,Packt Publishing,english,210,Computers - Computer Science,9781787284586,0.0
Using R For Data Analysis In Social Sciences: A Research Project-oriented Approach,"Li, Quan",2019,,Oxford University Press,english,364,"Society, Politics & Philosophy - Social Sciences",9780190656256,0.0
"Machine Learning- The Mastery Bible: The definitive guide to Machine Learning, Data Science, Artificial Intelligence, Neural Networks, and Data Analytics.","Hanson, Bill",2020,,,english,,,,0.0
Network Science with Python and NetworkX Quick Start Guide: Explore and visualize network data effectively,Edward L. Platt,2019,1,Packt Publishing,english,190,Computers - Databases,9781789955316,0.0
Data Visualization Guide: Clear Guide to Data Science and Visualization,"Campbell, Alex [Campbell, Alex]",2021,,,english,,,,0.0
Python for Beginners: The Crash Course to Learn Python Programming in 3-Days (or less). Master Artificial Intelligence for Data Science and Machine Learning + Practical Exercises,"Khan, Aaron",2020,,,english,,,,0.0
The Data Science Handbook,"Carl Shan, Henry Wang, William Chen, Max Song",2015,,leanpub.com,english,,,9780692367995,0.0
"Analytics, data science, & artificial intelligence : systems for decision support","Dursun Delen, Ramesh Sharda, Efraim Turban",2020,Eleventh,Pearson,english,834,Business & Economics - Management & Leadership,9780135192016,0.0
Journal of Financial Data Science,Marco Lopez de Prado,2019,,IPR Journals,english,175,Mathematics - Applied Mathematics,,0.0
Financial Analytics with R. Building a Laptop Laboratory for Data Science,"Mark J. Bennett, Dirk L. Hugen",2016,,Cambridge,english,386,Mathematics,9781107150751,4.0
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications,"Andrew Kelleher, Adam Kelleher",2019,,Addison-Wesley,english,274,,9780134116556,0.0
IPython Interactive Computing and Visualization Cookbook: Over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with Python,Cyrille Rossant,2014,,Packt Publishing,english,512,Computers - Programming,9781783284818,0.0
Data Science do zero: Primeiras regras com o Python,Joel Grus,2016,1,Alta Books,portuguese,425,Computers - Cybernetics,,0.0
Hands-on data science for marketing: improve your marketing strategies with machine learning using Python and R,"Hwang, Yoon Hyup",2019,,Packt Publishing,english,464,Computers - Computer Science,9781789348828,5.0
Data analysis for the life sciences with R,"Irizarry, Rafael A., Love, Michael I",2017,1,Chapman and Hall/CRC,english,353,Biology and other natural sciences,9781498775687,0.0
Основы Data Science и Big Data. Python и наука о данных,"Дэви Силен, Арно Мейсман",2017,,Питер,russian,336,,,0.0
Data science using Python and R,"Larose, Chantal D., Larose, Daniel T",2019,,John Wiley & Sons,english,238,Computers - Programming,9781119526841,0.0
Nature Inspired Computing for Data Science,"Minakhi Rout, Jitendra Kumar Rout, Himansu Das (Editors)",2020,1st,Springer,english,302,Computers - Organization and Data Processing,,0.0
"Big Data: Concepts, Warehousing, and Analytics (River Publishers Series in Information Science and Technology)","Maribel Yasmina Santos, Carlos Costa",2020,,River Publishers,english,312,Engineering,9788770221849,0.0
Introduction to Statistical and Machine Learning Methods for Data Science,"Dr. Carlos Andre Reis Andre Reis Pinheiro, Mike Patetta",2021,,SAS Institute,english,170,Computers - Databases,9781953329608,0.0
